map.area,year,leave.prob
130,2015,0.185825111015782
130,2016,0.185825111015782
130,2017,0.185825111015782
130,2018,0.185040118708184
131,2015,0.186304265370435
131,2016,0.186304265370435
131,2017,0.186304265370435
131,2018,0.186082379470453
132,2015,0.188191101787772
132,2016,0.188191101787772
132,2017,0.188191101787772
132,2018,0.186804497380185
133,2015,0.18895774261621
133,2016,0.18895774261621
133,2017,0.18895774261621
133,2018,0.188141742289945
134,2015,0.192338651078004
134,2016,0.192338651078004
134,2017,0.192338651078004
134,2018,0.192131329447306
135,2018,0.185539799626888
136,2015,0.18716423825211
136,2016,0.18716423825211
136,2017,0.18716423825211
136,2018,0.18695301966486
137,2015,0.189677018933956
137,2016,0.189677018933956
137,2017,0.189677018933956
137,2018,0.189545211656692
138,2015,0.191761040041291
138,2016,0.191761040041291
138,2017,0.191761040041291
138,2018,0.191773278243999
139,2015,0.192912843230719
139,2016,0.192912843230719
139,2017,0.192912843230719
139,2018,0.192896638197384
148,2018,0.217158453006257
153,2015,0.151448721246088
153,2016,0.151448721246088
153,2017,0.151448721246088
153,2018,0.151386925307685
154,2015,0.151243930322784
154,2016,0.151243930322784
154,2017,0.151243930322784
154,2018,0.151227344844033
155,2015,0.150219092742147
155,2016,0.150219092742147
155,2017,0.150219092742147
155,2018,0.150211762343437
156,2015,0.149468855432223
156,2016,0.149468855432223
156,2017,0.149468855432223
156,2018,0.149412742486419
157,2015,0.148852065921428
157,2016,0.148852065921428
157,2017,0.148852065921428
157,2018,0.148745238343918
158,2015,0.148590431879368
158,2016,0.148590431879368
158,2017,0.148590431879368
158,2018,0.148594972540406
159,2015,0.18753875043085
159,2016,0.18753875043085
159,2017,0.18753875043085
159,2018,0.187432135620289
160,2015,0.186502547121428
160,2016,0.186502547121428
160,2017,0.186502547121428
160,2018,0.186392576202978
161,2015,0.187715723208351
161,2016,0.187715723208351
161,2017,0.187715723208351
161,2018,0.187618877576997
162,2015,0.187832977441988
162,2016,0.187832977441988
162,2017,0.187832977441988
162,2018,0.18782202725105
163,2015,0.189391494428786
163,2016,0.189391494428786
163,2017,0.189391494428786
163,2018,0.187959744255275
164,2015,0.19111586848555
164,2016,0.19111586848555
164,2017,0.19111586848555
164,2018,0.190804243000417
165,2015,0.192242184997227
165,2016,0.192242184997227
165,2017,0.192242184997227
165,2018,0.191739972202239
170,2015,0.194140396038161
170,2016,0.194140396038161
170,2017,0.194140396038161
170,2018,0.161456207588245
185,2015,0.153765510804085
185,2016,0.153765510804085
185,2017,0.153765510804085
185,2018,0.153763642740204
189,2015,0.149899270375549
189,2016,0.149899270375549
189,2017,0.149899270375549
189,2018,0.149884635580077
192,2018,0.14911325406425
193,2018,0.148563462805624
195,2018,0.150092202965837
196,2015,0.150616789841895
196,2016,0.150616789841895
196,2017,0.150616789841895
196,2018,0.150492400551431
197,2018,0.151931975583678
198,2015,0.153212142914352
198,2016,0.153212142914352
198,2017,0.153212142914352
198,2018,0.153187465522187
199,2015,0.154680541961627
199,2016,0.154680541961627
199,2017,0.154680541961627
199,2018,0.15471386444418
207,2015,0.204485504142995
207,2016,0.204485504142995
207,2017,0.204485504142995
207,2018,0.204483752624486
211,2015,0.21485228422309
211,2016,0.21485228422309
211,2017,0.21485228422309
211,2018,0.214851678777478
212,2015,0.217532120501813
212,2016,0.217532120501813
212,2017,0.217532120501813
212,2018,0.217535175045576
217,2015,0.1567956537575
217,2016,0.1567956537575
217,2017,0.1567956537575
217,2018,0.1567956537575
218,2015,0.155359243063572
218,2016,0.155359243063572
218,2017,0.155359243063572
218,2018,0.155363481841933
219,2018,0.1541745576548
226,2018,0.14998209085349
227,2018,0.15009234835828
230,2015,0.151769451696196
230,2016,0.151769451696196
230,2017,0.151769451696196
230,2018,0.151765293354887
233,2015,0.155390652695071
233,2016,0.155390652695071
233,2017,0.155390652695071
233,2018,0.155401958178598
234,2015,0.156947919484546
234,2016,0.156947919484546
234,2017,0.156947919484546
234,2018,0.156963116604477
244,2015,0.212595767804144
244,2016,0.212595767804144
244,2017,0.212595767804144
244,2018,0.212605380910422
245,2015,0.213266242146495
245,2016,0.213266242146495
245,2017,0.213266242146495
245,2018,0.213343935076033
246,2015,0.21780829280887
246,2016,0.21780829280887
246,2017,0.21780829280887
246,2018,0.217793006562169
252,2015,0.157193018507348
252,2016,0.157193018507348
252,2017,0.157193018507348
252,2018,0.157192543013308
253,2015,0.155871035552859
253,2016,0.155871035552859
253,2017,0.155871035552859
253,2018,0.155867729934269
263,2018,0.151566477304727
269,2015,0.157884307098641
269,2016,0.157884307098641
269,2017,0.157884307098641
269,2018,0.157883829905243
280,2015,0.215673210940723
280,2016,0.215673210940723
280,2017,0.215673210940723
280,2018,0.215675639447115
287,2015,0.15928416102116
287,2016,0.15928416102116
287,2017,0.15928416102116
287,2018,0.159275509967587
288,2015,0.157772931277107
288,2016,0.157772931277107
288,2017,0.157772931277107
288,2018,0.157786762462133
289,2015,0.156608966105464
289,2016,0.156608966105464
289,2017,0.156608966105464
289,2018,0.156601855393835
317,2015,0.218805099199237
317,2016,0.218805099199237
317,2017,0.218805099199237
317,2018,0.218820436609643
323,2015,0.161524210743522
323,2016,0.161524210743522
323,2017,0.161524210743522
323,2018,0.161538793830661
324,2015,0.160013862129981
324,2016,0.160013862129981
324,2017,0.160013862129981
324,2018,0.160023992944965
325,2015,0.158713859559149
325,2016,0.158713859559149
325,2017,0.158713859559149
325,2018,0.158707150472372
326,2018,0.157580066247973
360,2015,0.162540735262708
360,2016,0.162540735262708
360,2017,0.162540735262708
360,2018,0.162539758162538
391,2015,0.220233318533765
391,2016,0.220233318533765
391,2017,0.220233318533765
391,2018,0.22022037532166
396,2018,0.165239592517542
397,2015,0.163608031304424
397,2016,0.163608031304424
397,2017,0.163608031304424
397,2018,0.163611469261239
428,2015,0.221119389884965
428,2016,0.221119389884965
428,2017,0.221119389884965
428,2018,0.221139788948864
433,2018,0.16642196985123
434,2015,0.16485850638398
434,2016,0.16485850638398
434,2017,0.16485850638398
434,2018,0.164846647212171
435,2015,0.163540483880959
435,2016,0.163540483880959
435,2017,0.163540483880959
435,2018,0.16352821001613
465,2015,0.222219080371339
465,2016,0.222219080371339
465,2017,0.222219080371339
465,2018,0.222240172310164
470,2015,0.167734840843632
470,2016,0.167734840843632
470,2017,0.167734840843632
470,2018,0.167744861809501
471,2015,0.166090811452756
471,2016,0.166090811452756
471,2017,0.166090811452756
471,2018,0.166090314347815
501,2015,0.22092403067104
501,2016,0.22092403067104
501,2017,0.22092403067104
501,2018,0.220914146960375
537,2015,0.21983893312848
537,2016,0.21983893312848
537,2017,0.21983893312848
537,2018,0.219844473253368
573,2015,0.221142392638235
